,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 17:25,,51.305,26.43368778,30.32677617,34.06136733,38.89553308,54.48893709
,,1/05/2005 17:30,,51.8,26.66459881,30.59902486,34.37327072,39.25876668,55.01774482
,,1/05/2005 17:35,,52.918,27.1861312,31.21392189,35.07773128,40.07916095,56.21210248
,,1/05/2005 17:40,,54.919,28.11957155,32.31446657,36.33857707,41.54750525,58.34976768
,,1/05/2005 17:45,,57.321,29.24007316,33.63556019,37.85209611,43.31010546,60.91582055
,,1/05/2005 17:50,,57.702,29.41780468,33.84510918,38.09216719,43.58968526,61.32284226
,,1/05/2005 17:55,,58.339,29.71495685,34.19545749,38.49354589,44.0571192,62.00334837
,,1/05/2005 18:00,,61.942,31.39570927,36.17709792,40.76382444,46.70101951,65.85242769
,,1/05/2005 18:05,,62.202,31.51699587,36.32009723,40.92765248,46.89180887,66.13018528
,,1/05/2005 18:10,,63.895,32.30675824,37.25124273,41.99442505,48.13414116,67.93881456
,,1/05/2005 18:15,,66.261,33.41046632,38.55253645,43.48526021,49.87032438,70.46640869
,,1/05/2005 18:20,,68.25,34.33830883,39.64648117,44.7385447,51.32986302,72.5912543
,,1/05/2005 18:25,,71.602,35.90197303,41.49007226,46.85066618,53.78957821,76.1721907
,,1/05/2005 18:30,,72.413,36.28029393,41.93612011,47.36168364,54.38469427,77.03858074
,,1/05/2005 18:35,,72.82,36.47015411,42.15996903,47.61813753,54.683353,77.47337821
,,1/05/2005 18:40,,74.726,37.3592782,43.20826396,48.81912308,56.08198581,79.50955505
,,1/05/2005 18:45,,74.453,37.23192727,43.05811469,48.64710364,55.88165698,79.21790958
,,1/05/2005 18:50,,75.273,37.61444655,43.50911251,49.16379207,56.48337728,80.09391431
,,1/05/2005 18:55,,76.371,38.1266492,44.11300959,49.85565048,57.28909544,81.266906
,,1/05/2005 19:00,,75.41,37.67835526,43.58446215,49.25011684,56.5839086,80.24027119
,,1/05/2005 19:05,,74.999,37.48662913,43.35841324,48.99114252,56.28231464,79.80120053
,,1/05/2005 19:10,,74.18,37.10457634,42.90796541,48.4750842,55.68132814,78.9262641
,,1/05/2005 19:15,,73.499,36.78689874,42.53341722,48.04598076,55.18160677,78.19875286
,,1/05/2005 19:20,,74.589,37.29536949,43.13291433,48.73279831,55.98145449,79.36319817
,,1/05/2005 19:25,,72.956,36.53359633,42.23476867,47.7038322,54.78315052,77.6186668
,,1/05/2005 19:30,,72.278,36.21731819,41.86187047,47.27661908,54.28563056,76.89436045
,,1/05/2005 19:35,,71.602,35.90197303,41.49007226,46.85066618,53.78957821,76.1721907
